Source,Target,Edge_Type
which_wiki_edit,11_attn.q,1
which_wiki_edit,14_attn.k,1
which_wiki_edit,21_attn.k,1
abstract_narrative_understanding,6_attn.k,1
abstract_narrative_understanding,24_attn.k,1
anachronisms,8_attn.q,1
anachronisms,8_attn.k,1
anachronisms,12_attn.o,1
anachronisms,18_attn.o,1
anachronisms,20_attn.v,1
anachronisms,23_attn.q,1
anachronisms,29_attn.o,1
analogical_similarity,6_attn.k,1
analogical_similarity,29_attn.q,1
analytic_entailment,8_attn.k,1
arithmetic,15_attn.q,1
arithmetic,20_attn.o,1
authorship_verification,18_attn.q,1
authorship_verification,21_attn.v,1
authorship_verification,23_attn.v,1
authorship_verification,29_attn.o,1
authorship_verification,30_attn.q,1
bbq_lite_json,8_attn.k,1
bbq_lite_json,10_attn.v,1
bbq_lite_json,14_attn.k,1
bbq_lite_json,18_attn.q,1
bbq_lite_json,29_attn.v,1
causal_judgment,9_attn.v,1
causal_judgment,11_attn.k,1
causal_judgment,20_attn.q,1
causal_judgment,28_attn.k,1
cause_and_effect,13_attn.k,1
cause_and_effect,18_attn.q,1
cause_and_effect,18_attn.v,1
cause_and_effect,27_attn.k,1
checkmate_in_one,20_attn.k,1
checkmate_in_one,26_attn.o,1
cifar10_classification,9_attn.o,1
cifar10_classification,10_attn.q,1
cifar10_classification,19_attn.v,1
code_line_description,11_attn.o,1
color,9_attn.k,1
color,18_attn.k,1
color,27_attn.v,1
common_morpheme,4_attn.q,1
common_morpheme,5_attn.v,1
common_morpheme,8_attn.o,1
common_morpheme,10_attn.v,1
common_morpheme,21_attn.v,1
common_morpheme,24_attn.o,1
conceptual_combinations,3_attn.v,1
conceptual_combinations,6_attn.v,1
conceptual_combinations,8_attn.q,1
conceptual_combinations,8_attn.o,1
conceptual_combinations,9_attn.o,1
conceptual_combinations,10_attn.v,1
conceptual_combinations,14_attn.k,1
conceptual_combinations,17_attn.k,1
conceptual_combinations,20_attn.k,1
conceptual_combinations,24_attn.o,1
conceptual_combinations,27_attn.o,1
conceptual_combinations,30_attn.k,1
crash_blossom,4_attn.v,1
crash_blossom,8_attn.q,1
crash_blossom,9_attn.o,1
crash_blossom,13_attn.q,1
crash_blossom,14_attn.o,1
crash_blossom,17_attn.k,1
crash_blossom,26_attn.v,1
crash_blossom,29_attn.o,1
crass_ai,4_attn.q,1
crass_ai,13_attn.q,1
crass_ai,20_attn.v,1
crass_ai,24_attn.q,1
crass_ai,24_attn.k,1
cs_algorithms,7_attn.q,1
cs_algorithms,16_attn.q,1
cs_algorithms,17_attn.v,1
cs_algorithms,19_attn.o,1
cs_algorithms,27_attn.v,1
dark_humor_detection,5_attn.k,1
dark_humor_detection,12_attn.q,1
dark_humor_detection,25_attn.q,1
disambiguation_qa,7_attn.v,1
disambiguation_qa,29_attn.k,1
discourse_marker_prediction,18_attn.v,1
discourse_marker_prediction,18_attn.o,1
discourse_marker_prediction,28_attn.v,1
dyck_languages,6_attn.v,1
dyck_languages,15_attn.o,1
dyck_languages,17_attn.k,1
elementary_math_qa,21_attn.k,1
elementary_math_qa,24_attn.k,1
emoji_movie,22_attn.k,1
empirical_judgments,7_attn.k,1
empirical_judgments,7_attn.o,1
empirical_judgments,10_attn.v,1
empirical_judgments,12_attn.q,1
empirical_judgments,18_attn.k,1
empirical_judgments,25_attn.k,1
english_proverbs,3_attn.v,1
english_proverbs,4_attn.o,1
english_proverbs,7_attn.o,1
english_proverbs,9_attn.o,1
english_proverbs,10_attn.q,1
english_proverbs,17_attn.q,1
english_proverbs,27_attn.k,1
english_russian_proverbs,14_attn.q,1
english_russian_proverbs,18_attn.q,1
entailed_polarity,7_attn.q,1
entailed_polarity,7_attn.k,1
entailed_polarity,9_attn.o,1
entailed_polarity,14_attn.q,1
entailed_polarity,15_attn.k,1
entailed_polarity_hindi,10_attn.v,1
